question,answer,category
응급실은 24시간 운영하나요?,대부분의 종합병원 응급실은 24시간 운영됩니다. 다만 병원 규모에 따라 운영 여부가 다를 수 있습니다.,응급
응급실 진료비는 외래보다 비싼가요?,응급실은 응급관리료 등이 추가되어 외래보다 비용이 높을 수 있습니다. 정확한 비용은 병원 원무과에 문의해주세요.,응급
진료비는 어떻게 결제하나요?,"진료비는 현금, 카드, 일부 병원에서는 모바일 결제나 간편결제가 가능합니다. 병원별 결제 수단을 확인해주세요.",수납/보험
진료비 영수증을 재발급받을 수 있나요?,"네, 대부분 원무과나 병원 홈페이지에서 재발급이 가능합니다. 본인 확인 절차가 필요할 수 있습니다.",수납/보험
진료비 세부내역서를 받을 수 있나요?,진료비 세부내역서는 원무과 또는 무인 발급기에서 발급받을 수 있습니다. 신분증이 필요할 수 있습니다.,수납/보험
실손보험 청구 서류는 어디서 받나요?,"진료비 영수증, 세부내역서, 진단서 등은 원무과나 제증명 창구에서 발급받을 수 있습니다.",수납/보험
진단서 발급은 어떻게 하나요?,진단서는 담당 의사의 확인 후 발급됩니다. 진료 후 제증명 창구에서 신청할 수 있습니다.,서류발급
진단서 발급 비용이 있나요?,"네, 진단서 발급에는 별도 비용이 발생합니다. 비용은 병원과 서류 종류에 따라 다릅니다.",서류발급
소견서 발급이 가능한가요?,소견서는 담당 의사의 판단에 따라 발급 가능합니다. 진료 후 요청하시면 됩니다.,서류발급
진료확인서도 발급되나요?,"네, 진료확인서는 원무과나 제증명 창구에서 발급 가능합니다. 병원에 따라 온라인 발급도 가능합니다.",서류발급
입퇴원확인서는 어디서 발급하나요?,입퇴원확인서는 원무과 또는 제증명 창구에서 발급받을 수 있습니다. 본인 확인이 필요합니다.,서류발급
처방전 재발급이 가능한가요?,처방전 재발급 가능 여부는 병원과 처방일 기준에 따라 다릅니다. 진료과나 원무과에 문의해주세요.,처방
약 처방만 받을 수 있나요?,약 처방은 의사의 진료 후 가능합니다. 기존 처방이라도 상태 확인이 필요할 수 있습니다.,처방
전화로 처방받을 수 있나요?,"전화 처방은 제한적으로만 가능하며, 관련 규정과 병원 정책에 따라 달라집니다. 병원에 확인해주세요.",처방
대리 처방이 가능한가요?,대리 처방은 법적 요건을 충족하는 경우에만 가능합니다. 가족관계 확인 서류 등이 필요할 수 있습니다.,처방
건강검진 예약은 어떻게 하나요?,"건강검진은 검진센터 전화, 홈페이지, 앱을 통해 예약할 수 있습니다. 검진 항목에 따라 준비사항이 다릅니다.",건강검진
건강검진 전 금식해야 하나요?,혈액검사나 위내시경이 포함된 경우 보통 금식이 필요합니다. 정확한 금식 시간은 검진 안내문을 확인해주세요.,건강검진
국가건강검진이 가능한가요?,국가건강검진 가능 여부는 병원 지정 여부에 따라 다릅니다. 병원 검진센터에 확인해주세요.,건강검진
위내시경 예약이 가능한가요?,"네, 위내시경은 사전 예약이 필요합니다. 검사 전 금식 및 복용약 확인이 필요할 수 있습니다.",내시경
대장내시경 전 준비는 어떻게 하나요?,대장내시경 전에는 장 정결제 복용과 식이 조절이 필요합니다. 병원에서 제공하는 안내문을 꼭 따라주세요.,내시경
내시경 수면검사가 가능한가요?,"대부분의 병원에서 수면 내시경이 가능하지만, 건강 상태에 따라 제한될 수 있습니다. 사전 상담이 필요합니다.",내시경
혈액검사는 예약해야 하나요?,"일반 혈액검사는 예약 없이 가능한 경우가 많지만, 특수 검사는 예약이 필요할 수 있습니다.",검사
검사 결과는 언제 나오나요?,"검사 종류에 따라 다르며, 일반 혈액검사는 당일 또는 다음 날 확인 가능한 경우가 많습니다.",검사
검사 결과를 온라인으로 볼 수 있나요?,일부 병원은 홈페이지나 앱에서 검사 결과 조회를 제공합니다. 이용 가능 여부는 병원 시스템에 따라 다릅니다.,검사
MRI 검사는 예약이 필요한가요?,"네, MRI는 대부분 사전 예약이 필요합니다. 검사 부위와 조영제 사용 여부에 따라 준비사항이 달라집니다.",검사
CT 검사 전 금식해야 하나요?,조영제를 사용하는 CT 검사는 금식이 필요할 수 있습니다. 검사 안내를 반드시 확인해주세요.,검사
X-ray 검사는 바로 받을 수 있나요?,"X-ray는 비교적 빠르게 진행되는 경우가 많지만, 진료 후 의사의 처방이 필요합니다.",검사
초음파 검사는 예약해야 하나요?,초음파 검사는 검사 부위와 진료과에 따라 예약이 필요할 수 있습니다. 병원에 확인해주세요.,검사
예방접종도 가능한가요?,"병원에 따라 독감, B형간염, 폐렴구균 등 예방접종이 가능합니다. 백신 재고 확인 후 방문해주세요.",예방접종
독감 예방접종은 언제 맞을 수 있나요?,독감 예방접종은 보통 가을부터 시작됩니다. 접종 일정과 대상자는 병원 공지를 확인해주세요.,예방접종
코로나 검사도 하나요?,코로나 검사 가능 여부는 병원 정책과 운영 상황에 따라 다릅니다. 방문 전 문의해주세요.,감염관리
코로나 예방접종이 가능한가요?,접종 가능 여부와 백신 종류는 시기와 병원에 따라 다릅니다. 예약 가능 여부를 확인해주세요.,예방접종
아이 진료도 가능한가요?,소아청소년과가 있는 병원에서는 아이 진료가 가능합니다. 연령 제한이나 예약 여부를 확인해주세요.,진료과
소아 야간 진료가 있나요?,소아 야간 진료는 일부 병원에서만 운영합니다. 응급 상황이면 응급실 이용을 고려해주세요.,진료과
산부인과 진료 예약이 가능한가요?,"네, 산부인과 진료는 예약 가능합니다. 임신 주수나 증상에 따라 필요한 검사가 달라질 수 있습니다.",진료과
임신 확인 검사가 가능한가요?,"네, 소변검사나 혈액검사, 초음파 등을 통해 임신 확인이 가능합니다. 산부인과 진료를 예약해주세요.",진료과
피부과 진료도 하나요?,"피부과가 있는 병원에서는 여드름, 피부염, 알레르기 등 피부 질환 진료가 가능합니다.",진료과
정형외과에서는 어떤 진료를 하나요?,"정형외과는 관절, 뼈, 근육, 인대, 척추 관련 질환과 외상을 진료합니다.",진료과
허리 통증은 어느 과로 가야 하나요?,"허리 통증은 정형외과, 신경외과, 재활의학과에서 진료받을 수 있습니다. 증상에 따라 적절한 과가 달라질 수 있습니다.",진료과
두통은 어느 과에서 진료하나요?,반복되거나 심한 두통은 신경과 진료가 도움이 될 수 있습니다. 갑작스럽고 극심한 두통은 응급 진료가 필요할 수 있습니다.,진료과
복통은 어느 과로 가야 하나요?,복통은 내과나 소화기내과에서 진료받을 수 있습니다. 심한 통증이나 발열이 있으면 빠른 진료를 권장합니다.,진료과
가슴 통증은 어느 과로 가야 하나요?,가슴 통증은 심장내과 또는 응급실 진료가 필요할 수 있습니다. 호흡곤란이나 식은땀이 동반되면 즉시 응급실을 방문하세요.,진료과
어지럼증은 어느 과에서 보나요?,"어지럼증은 이비인후과, 신경과, 내과에서 진료할 수 있습니다. 증상 양상에 따라 진료과가 달라집니다.",진료과
감기 증상은 내과로 가면 되나요?,"네, 감기 증상은 내과, 가정의학과, 이비인후과에서 진료받을 수 있습니다.",진료과
알레르기 검사가 가능한가요?,"알레르기 검사는 피부과, 이비인후과, 알레르기내과 등에서 가능합니다. 검사 종류는 병원마다 다릅니다.",검사
비염은 어느 과로 가야 하나요?,비염은 이비인후과에서 주로 진료합니다. 알레르기 여부에 따라 추가 검사가 필요할 수 있습니다.,진료과
눈이 아프면 어느 과로 가야 하나요?,눈 통증이나 시야 이상은 안과 진료를 권장합니다. 갑작스러운 시력 저하는 응급 진료가 필요할 수 있습니다.,진료과
치과 진료도 가능한가요?,"치과가 있는 병원에서는 충치, 잇몸, 발치, 보철 등 치과 진료가 가능합니다.",진료과
물리치료는 예약해야 하나요?,"물리치료는 의사의 처방 후 진행되며, 병원에 따라 예약이 필요할 수 있습니다.",치료
재활치료도 받을 수 있나요?,재활의학과가 있는 병원에서는 재활치료가 가능합니다. 상태 평가 후 치료 계획이 정해집니다.,치료
입원하려면 어떻게 해야 하나요?,입원은 진료 후 담당 의사가 필요성을 판단하면 진행됩니다. 병실 상황에 따라 대기할 수 있습니다.,입원/면회
병실은 선택할 수 있나요?,병실 선택은 가능하지만 병실 상황에 따라 제한될 수 있습니다. 원무과나 입원 창구에서 안내받을 수 있습니다.,입원/면회
보호자 상주는 가능한가요?,보호자 상주 가능 여부는 병원 정책과 병동 상황에 따라 다릅니다. 감염관리 기준에 따라 제한될 수 있습니다.,입원/면회
면회 시간이 어떻게 되나요?,면회 시간은 병원과 병동별로 다릅니다. 감염관리 상황에 따라 면회가 제한될 수 있습니다.,입원/면회
중환자실 면회가 가능한가요?,중환자실 면회는 정해진 시간과 인원 제한이 있는 경우가 많습니다. 병동 안내를 확인해주세요.,입원/면회
수술 예약은 어떻게 하나요?,수술은 담당 의사의 진료와 검사 후 일정이 결정됩니다. 수술 전 안내와 동의 절차가 필요합니다.,수술
수술 전 검사는 왜 필요한가요?,"수술 전 검사는 마취와 수술의 안전성을 확인하기 위해 필요합니다. 혈액검사, 심전도, 영상검사 등이 포함될 수 있습니다.",수술
수술 후 입원 기간은 얼마나 되나요?,입원 기간은 수술 종류와 회복 상태에 따라 다릅니다. 담당 의료진이 상태를 확인해 안내합니다.,수술
주차는 가능한가요?,"대부분의 병원은 주차장을 운영하지만, 혼잡할 수 있습니다. 진료 시 주차 할인 여부도 확인해주세요.",주차/교통
주차비 할인이 되나요?,"진료, 검사, 입원 여부에 따라 주차 할인이 제공될 수 있습니다. 무인정산기나 원무과에서 확인해주세요.",주차/교통
병원 셔틀버스가 있나요?,일부 병원은 지하철역이나 주요 지점에서 셔틀버스를 운영합니다. 운행 시간표는 병원 홈페이지를 확인해주세요.,주차/교통
병원 위치는 어디서 확인하나요?,"병원 위치는 홈페이지, 지도 앱, 예약 안내 문자에서 확인할 수 있습니다.",위치/시설
진료과 위치는 어떻게 찾나요?,"병원 로비 안내데스크, 층별 안내도, 키오스크에서 진료과 위치를 확인할 수 있습니다.",위치/시설
휠체어 대여가 가능한가요?,대부분의 병원은 휠체어 대여가 가능합니다. 안내데스크나 원무과에 문의해주세요.,위치/시설
장애인 편의시설이 있나요?,"병원에는 보통 장애인 주차구역, 엘리베이터, 장애인 화장실 등이 마련되어 있습니다. 세부 시설은 병원마다 다릅니다.",위치/시설
외국인 진료가 가능한가요?,일부 병원은 외국인 진료와 통역 서비스를 제공합니다. 이용 가능 언어와 예약 방법을 사전에 확인해주세요.,외국인진료
통역 서비스가 있나요?,"병원에 따라 영어, 중국어, 일본어 등 통역 서비스를 제공할 수 있습니다. 사전 예약이 필요할 수 있습니다.",외국인진료
진료 시 신분증이 필요한가요?,"네, 본인 확인을 위해 신분증이 필요할 수 있습니다. 특히 초진, 서류 발급, 보험 관련 업무에는 신분증을 지참해주세요.",신분확인
건강보험증이 필요한가요?,"신분증으로 건강보험 자격 확인이 가능한 경우가 많지만, 상황에 따라 보험 관련 서류가 필요할 수 있습니다.",신분확인
미성년자 혼자 진료받을 수 있나요?,미성년자 진료는 진료 내용에 따라 보호자 동의가 필요할 수 있습니다. 병원에 사전 확인해주세요.,신분확인
가족이 대신 서류를 발급받을 수 있나요?,"가족 대리 발급은 위임장, 가족관계증명서, 신분증 등 필요한 서류가 있을 수 있습니다. 병원 안내를 확인해주세요.",서류발급
진료 기록 사본을 받을 수 있나요?,"네, 의무기록 사본은 의무기록 창구에서 신청할 수 있습니다. 본인 확인 및 발급 수수료가 필요할 수 있습니다.",진료기록
영상 CD 발급이 가능한가요?,"CT, MRI, X-ray 등 영상 자료는 CD 또는 온라인 전송 형태로 발급 가능한 경우가 있습니다. 영상의학과나 원무과에 문의해주세요.",진료기록
다른 병원으로 진료 의뢰서를 받을 수 있나요?,담당 의사의 판단에 따라 진료 의뢰서 또는 소견서를 발급받을 수 있습니다. 진료 시 요청해주세요.,의뢰서
상급종합병원 진료에 의뢰서가 필요한가요?,일부 상급종합병원 진료는 요양급여의뢰서가 필요할 수 있습니다. 진료 전 필요 서류를 확인해주세요.,의뢰서
의료급여 환자도 진료 가능한가요?,"의료급여 환자도 진료 가능하지만, 진료 단계와 의뢰서 요건이 있을 수 있습니다. 원무과에 확인해주세요.",수납/보험
자동차보험 진료가 가능한가요?,교통사고 관련 자동차보험 진료는 병원 정책과 보험 접수 여부에 따라 가능합니다. 접수 전 보험사 정보를 준비해주세요.,수납/보험
산재보험 진료가 가능한가요?,산재보험 진료 가능 여부는 병원 지정 여부와 서류에 따라 다릅니다. 원무과 또는 산재 담당 창구에 문의해주세요.,수납/보험
비급여 항목 비용은 어디서 확인하나요?,비급여 비용은 병원 홈페이지의 비급여 안내 또는 원무과에서 확인할 수 있습니다.,비급여
진료 대기 시간은 얼마나 걸리나요?,"대기 시간은 예약 여부, 진료과 상황, 응급 환자 발생 여부에 따라 달라질 수 있습니다.",대기/순서
예약했는데도 기다려야 하나요?,예약을 해도 앞선 진료 상황이나 응급 상황으로 대기 시간이 발생할 수 있습니다.,대기/순서
진료 순서는 어떻게 정해지나요?,"보통 예약 시간과 접수 순서에 따라 진행되지만, 응급도나 검사 일정에 따라 달라질 수 있습니다.",대기/순서
병원 안에 약국이 있나요?,병원 내부 또는 근처에 약국이 있을 수 있습니다. 외래 처방은 원외 약국에서 조제하는 경우가 많습니다.,처방
처방전 유효기간은 며칠인가요?,"처방전 유효기간은 보통 발급일을 포함해 정해진 기간이 있으며, 처방전에 표시됩니다. 기간 내 약국에 제출해주세요.",처방
진료 후 바로 검사를 받을 수 있나요?,"일부 검사는 당일 가능하지만, 예약이 필요한 검사는 별도 일정이 잡힐 수 있습니다.",검사
병원에서 마스크를 착용해야 하나요?,감염관리 정책에 따라 마스크 착용이 권장되거나 의무일 수 있습니다. 병원 안내를 따라주세요.,감염관리
감염 증상이 있으면 어떻게 방문해야 하나요?,"발열, 기침 등 감염 증상이 있으면 방문 전 병원에 알리고 안내에 따라 내원해주세요. 별도 동선이 있을 수 있습니다.",감염관리
증상이 심하면 예약일보다 빨리 가도 되나요?,증상이 악화되거나 응급 증상이 있으면 예약일을 기다리지 말고 병원에 문의하거나 응급실을 방문하세요.,응급
